Course Code,Course Name,Semester,Department,LTPSC,Credits,Instructor,Registered Students,Elective (Yes/No),Half Semester (Yes/No)
MA261,Differential Equations,III,Mathematics,2-0-0-0-2,2,Dr. Anand Barangi,,No,No
CS261,Operating System,III,CSE,3-0-0-0-3,3,Dr. Suvadip Hazra,,No,No
